filename,num_detections,GT detections,Worked?,Overlapping,Several species?,Color,Lightning,How many fish is cut off,Comment
1689120590238.jpg,1,7,0,Yes,No,Grey,OK - but a pic of a pic?,,
1689577829534.jpg,0,5,0,Yes,No,Grey,OK,,
1689577974563.jpg,1,1,1,No,No,Grey,OK,,
1689594468820.jpg,2,3,0,Kinda,No,Red-grey,OK,,
1689651076768.jpg,1,1,1,No,No,Grey,Some shadows,,Angle
1689651811316.jpg,1,1,1,No,No,Grey,OK,,Angle
1689652491689.jpg,0,3,0,No,Yes,Grey,OK,2,
1689733035992.jpg,1,1,1,No,No,Grey,OK,,
1689739881340.jpg,0,1,0,No,No,Grey,Shadow,,Blurry
1689739901296.jpg,1,2,0,No,No,Grey,OK,1,
1689740066618.jpg,1,1,1,No,No,Grey,OK,,
1689740260887.jpg,1,3,0,No,Maybe,Grey,OK,2,Acceptable detection (cutoff)
1689743257346.jpg,1,2,0,No,Maybe,Grey,A bit dark,1,
1690337039741.jpg,1,3,0,Yes,No,Grey,Picture of picture,1,Hanging
1690349481994.jpg,2,5,0,No,No,Grey,OK,,
1690466885625.jpg,1,1,1,No,No,Grey,A bit dark,,
1690544392983.jpg,0,12,0,No,Maybe,Grey (+ one yellow),OK,,
1690598682706.jpg,3,4,0,No,No,Red,OK,,
1690599089156.jpg,4,4,1,Not started,Not started,Red,OK,,Missing tails of all fish
1690890877921.jpg,1,4,0,Yes,No,Red,"Bad, pic of a pic",,Hanging
1691197797009.jpg,1,5,0,No,No,Grey,OK,,
1691201510682.jpg,0,1,0,No,No,Red,OK,,
1691201635655.jpg,2,2,1,Not started,Not started,Red,Some shadow,,
1691201728522.jpg,2,2,1,Not started,Not started,Red,Some shadow,,Missing a bit of face
1691234458029.jpg,1,1,1,Not started,Not started,Grey,OK,,
1691235083249.jpg,1,2,0,No,No,Grey,A bit dark,,Hanging
1691235144639.jpg,0,2,0,Yes,No,Grey,OK,,Hanging
1691235476798.jpg,0,4,0,Yes,No,Grey,OK,,Hanging
1691235509689.jpg,1,1,1,Not started,Not started,Grey,OK,,Hanging
1691235988859.jpg,1,1,1,Not started,Not started,Grey,OK,,Hanging
1691236115459.jpg,1,1,1,Not started,Not started,Grey,OK,,Hanging
1692330985857.jpg,0,5,0,Yes,No,Grey,Shadow,1,
1692413225981.jpg,3,3,1,Not started,Not started,Red,OK,,
1692413842219.jpg,4,5,0,No,Yes,Red (+ one black),OK,1,Detected a cut fish!
1692414093710.jpg,3,5,0,No,Yes,Red (+ one black),OK,1,"Same picture, different result"
1692414486273.jpg,7,8,0,No,No,Red,OK,,
1692581137223.jpg,1,2,0,No,No,Grey (+ Red cutoff),OK,1,
1692581157271.jpg,1,2,0,No,No,Grey (+ Red cutoff),OK,1,
1693045597639.jpg,3,3,1,No,No,Red,OK,,
1693046054194.jpg,4,8,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1693046250037.jpg,3,7,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1693046470745.jpg,3,3,1,Yes,No,Red,Some shadow,,
1693046853848.jpg,7,8,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1693444885638.jpg,1,1,1,Not started,Not started,Grey,Some shadow,,
1693450624018.jpg,2,2,1,Yes,Not started,Grey,OK,,
1693535715149.jpg,1,1,1,Not started,Not started,Grey,OK,,
1693546581340.jpg,1,2,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1693546778635.jpg,2,7,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1693549640994.jpg,1,1,1,Not started,Not started,Grey,OK,,Dirty
1694346646225.jpg,1,1,1,Not started,Not started,Grey,Some shadow,,
1694865793188.jpg,1,2,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1695258772293.jpg,1,1,1,Not started,Not started,Grey,OK,,
1695267680911.jpg,1,18,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1695389712651.jpg,0,1,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1695389756695.jpg,0,1,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1695511150791.jpg,2,7,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1695511964208.jpg,0,18,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1695521758525.jpg,2,5,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1695691830697.jpg,2,4,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1695713427558.jpg,3,5,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1695734906095.jpg,0,2,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1695735175273.jpg,1,1,1,Not started,Not started,Grey,OK,,
1695735670368.jpg,1,5,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1696333279652.jpg,2,4,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1696496895174.jpg,1,1,1,Not started,Not started,Grey/Red,OK,,
1696677986326.jpg,0,9,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1696945542849.jpg,2,9,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1696946750249.jpg,2,2,1,Not started,Not started,Red,OK,,A bit of the mouth is gone
1696947493558.jpg,0,9,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1697005652932.jpg,1,1,1,Not started,Not started,Red,OK,,
1697012766699.jpg,1,1,1,Not started,Not started,Red,OK,,
1697114382541.jpg,1,2,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1697114451439.jpg,4,4,1,Not started,Not started,Red,OK,,Bit blurry
1697114533401.jpg,2,2,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1697115180424.jpg,0,42,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1697115186816.jpg,0,42,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1697115495415.jpg,0,42,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1697115710031.jpg,0,42,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1697192142521.jpg,0,9,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1697192142521.jpg,0,9,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1697269648589.jpg,0,1,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1697271152607.jpg,1,6,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1697272759438.jpg,0,20,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1697273193293.jpg,1,1,1,No,Not started,Grey,Some shadow,,
1697505523144.jpg,3,3,1,No,Not started,Red,OK,,
1697506247065.jpg,2,6,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1697506294036.jpg,0,22,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1697506355974.jpg,1,8,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1697506406466.jpg,1,5,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1697506536349.jpg,1,13,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1697506620470.jpg,2,2,1,Not started,Not started,Red,OK,,
1697506693057.jpg,2,3,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1697698487485.jpg,1,2,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1697699933364.jpg,1,1,1,Not started,Not started,Grey,OK,,
1697864502865.jpg,0,23,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1697864667586.jpg,1,16,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1697864792743.jpg,1,8,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1697864893088.jpg,2,5,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1697865090545.jpg,3,4,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1698141339810.jpg,0,19,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1698143082765.jpg,0,3,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1698143235892.jpg,0,7,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1698274064708.jpg,4,4,1,Not started,Not started,Red,OK,,
1698318241974.jpg,1,1,1,Not started,Not started,Grey,Dark,,
1698324089147.jpg,2,3,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1698527855359.jpg,3,4,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1698528173571.jpg,1,2,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1698528209061.jpg,4,6,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1698528308697.jpg,2,6,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1698528467655.jpg,3,4,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1698528638801.jpg,3,4,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1698546478939.jpg,1,2,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1698546986877.jpg,1,3,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1698547581641.jpg,1,15,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1698548194367.jpg,1,1,1,Not started,Not started,Red,OK,,Hanging
1698549061480.jpg,1,2,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1698660942801.jpg,0,9,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1698661235894.jpg,1,6,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1698661390954.jpg,2,5,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1698661562885.jpg,2,2,1,Not started,Not started,Red,OK,,
1698662104886.jpg,1,7,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1698662651172.jpg,2,5,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1698662758223.jpg,2,2,1,Not started,Not started,Red,OK,,
1698662908475.jpg,2,2,1,Not started,Not started,Red,OK,,
1698663806513.jpg,0,5.748207543296,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1698740072533.jpg,3,3,1,Not started,Not started,Red,OK,,
1698740471563.jpg,0,5,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1698740970816.jpg,0,7,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1698741342007.jpg,0,7653774774,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1698926218599.jpg,3,6,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1698926724684.jpg,3,4,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1698927145975.jpg,3,4,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1698927262789.jpg,2,6,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1698927784464.jpg,2,4,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1698928222909.jpg,2,4,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1698928321548.jpg,2,4,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1698928724030.jpg,0,654363645365,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1699164458540.jpg,1,1,1,Not started,Not started,Red,OK,,
1699167222100.jpg,1,1,1,Not started,Not started,Red,Dark on the tail,,
1699167338210.jpg,0,3,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1699355005032.jpg,1,5,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1699355166176.jpg,1,13,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1699355371850.jpg,1,3,0,Not started,Not started,NOT CHECKED,NOT CHECKED,,
1699356483694.jpg,1,5,0,Yes,Yes,Grey,OK,3,In a bucket - estimated nr