species_name,EN_name,EN_name_fishbase,shape,max_size,size_type
Gerres oyena,Common silver–biddy,Common silver-biddy,fusiform / normal,30,TL
Plectorhinchus flavomaculatus,Lemonfish,Lemonfish,fusiform / normal,60,TL
Plectorhinchus gaterinus,Blackspotted rubberlip,Blackspotted rubberlip,fusiform / normal,50,TL
Plectorhinchus chubbi,Dusky rubberlip,Dusky rubberlip,short and / or deep,75,TL
Plectorhinchus picus,Zebra sweetlip,Painted sweetlip,fusiform / normal,84,TL
Plectorhinchus gibbosus,Harry hotlips,Harry hotlips,short and / or deep,75,TL
Plectorhinchus schotaf,Whitebarred rubberlip,Minstrel sweetlips,fusiform / normal,80,TL
Pomadasys argenteus,Indian Ocean oriental sweetlips,Silver grunt,fusiform / normal,70,TL
Plectorhinchus sordidus,Sordid rubberlip,Sordid rubberlip,fusiform / normal,60,TL
Pomadasys kaakan,Banded grunter,Javelin grunter,fusiform / normal,80,TL
Pomadasys commersonnii,Smallspotted grunter,Smallspotted grunter,fusiform / normal,80,TL
Pomadasys olivaceus,Cock grunter,Olive grunt,fusiform / normal,55,TL
Pomadasys stridens,Striped piggy,Striped piggy,fusiform / normal,20,TL
Acanthopagrus bifasciatus,Goldsilk seabream,Twobar seabream,fusiform / normal,36.20000076,SL
Argyrops filamentosus,Soldierbream,Soldierbream,short and / or deep,70,TL
Cheimerius nufar,King soldier bream,Santer seabream,fusiform / normal,75,TL
Polysteganus coeruleopunctatus,Blueskin seabream,Blueskin seabream,fusiform / normal,60,TL
Crenidens crenidens,Karanteen seabream,Karanteen seabream,short and / or deep,30,TL
Gnathodentex aureolineatus,Striped large–eye bream,Striped large-eye bream,fusiform / normal,42.29999924,FL
Gymnocranius grandoculis,Blue–lined large–eye bream,Blue-lined large-eye bream,fusiform / normal,80,TL
Lethrinus harak,Thumbprint emperor,Thumbprint emperor,fusiform / normal,54.90000153,FL
Lethrinus lentjan,Pink ear emperor,Pink ear emperor,fusiform / normal,52,TL
Lethrinus mahsena,Sky emperor,Sky emperor,fusiform / normal,65,TL
Monotaxis grandoculis,Humpnose big–eye bream,Humpnose big-eye bream,fusiform / normal,60,TL
Nemipterus japonicus,Randall’s threadfin bream,Japanese threadfin bream,fusiform / normal,34,TL
Scolopsis frenata,Bridled monocle bream,Bridled monocle bream,fusiform / normal,26,TL
Parascolopsis eriomma,Rosy dwarf monocle bream,Swallowtail dwarf monocle bream,fusiform / normal,35,TL
Johnius amblycephalus,Whitecheek monocle bream,Bearded croaker,fusiform / normal,25,SL
Scolopsis ghanam,Arabian monocle bream,Arabian monocle bream,fusiform / normal,30,TL
Otolithes ruber,Tigertooth croacker,Tigertooth croaker,fusiform / normal,90,TL
Mulloidichthys vanicolensis,Yellowstripe goatfish,Yellowfin goatfish,fusiform / normal,39.79999924,FL
Parupeneus heptacanthus,Cinnabar goatfish,Cinnabar goatfish,fusiform / normal,36,TL
Parupeneus macronemus,Long–barbel goatfish,Long-barbel goatfish,fusiform / normal,40,TL
Parupeneus pleurostigma,Sidespot goatfish,Sidespot goatfish,fusiform / normal,33,TL
Parupeneus indicus,Indian goatfish,Indian goatfish,fusiform / normal,45,TL
Upeneus moluccensis,Goldband goatfish,Goldband goatfish,fusiform / normal,22.5,TL
Parupeneus rubescens,Rosy goatfish,Rosy goatfish,fusiform / normal,43,TL
Parupeneus trifasciatus,Doublebar goatfish,Doublebar goatfish,fusiform / normal,35,TL
Upeneus vittatus,Freckled goatfish,Yellowstriped goatfish,fusiform / normal,28,TL
Kyphosus cinerascens,Blue Sea chub,Blue sea chub,fusiform / normal,53,FL
Drepane longimana,Concertina fish,Concertina fish,short and / or deep,50,TL
Monodactylus argenteus,Silver moony,Silver moony,short and / or deep,27,SL
Apolemichthys trimaculatus,Threespot angelfish,Threespot angelfish,short and / or deep,26,TL
Centropyge bicolor,Bicolor angelfish,Bicolor angelfish,short and / or deep,15,TL
Pomacanthus imperator,Emperor angelfish,Emperor angelfish,short and / or deep,40,SL
Pomacanthus chrysurus,Goldtail angelfish,Goldtail angelfish,short and / or deep,33,SL
Pomacanthus maculosus,Yellowbar angelfish,Yellowbar angelfish,short and / or deep,50,SL
Pygoplites diacanthus,Regal angelfish,Regal angelfish,short and / or deep,25,SL
Pomacanthus semicirculatus,Semicircle angelfish,Semicircle angelfish,short and / or deep,40,SL
Cirrhitichthys oxycephalus,Stocky hawkfish,Coral hawkfish,short and / or deep,10,TL
Paracirrhites forsteri,Blackside hawkfish,Blackside hawkfish,fusiform / normal,22,TL
Liza macrolepis,Largescale mullet,NA,NA,NA,NA
Liza melinoptera,Otomebora mullet,NA,NA,NA,NA
Moolgarda seheli,Bluespot mullet,NA,NA,NA,NA
Liza vaigiensis,Squaretail mullet,NA,NA,NA,NA
Valamugil buchanani,Bluetail mullet,NA,NA,NA,NA
Valamugil cunnesius,Longarm mullet,NA,NA,NA,NA
Valamugil engeli,Kanda,NA,NA,NA,NA
Bodianus anthioides,Lyretail hogfish,Lyretail hogfish,fusiform / normal,24,SL
Bodianus axillaris,Axilspot hogfish,Axilspot hogfish,fusiform / normal,20,SL
Bodianus diana,Diana’s hogfish,Diana's hogfish,fusiform / normal,16.89999962,SL
Bodianus opercularis,Blackspot hogfish,Blackspot hogfish,fusiform / normal,18,TL
Bodianus leucosticticus,Lined hogfish,Lined hogfish,fusiform / normal,24.20000076,SL
Bodianus trilineatus,Fourline hogfish,Fourline hogfish,fusiform / normal,28,TL
Cheilinus chlorourus,Redbreasted wrasse,Floral wrasse,fusiform / normal,45,TL
Cheilio inermis,Cigar wrasse,Cigar wrasse,elongated,50,SL
Coris caudimacula,Spottail coris,Spottail coris,fusiform / normal,20,TL
Epibulus insidiator,Sling–jaw wrasse,Sling-jaw wrasse,short and / or deep,54,SL
Coris formosa,Queen coris,Queen coris,fusiform / normal,60,TL
Coris cuvieri,African coris,NA,fusiform / normal,38,TL
Halichoeres hortulanus,Checkerboard wrasse,Checkerboard wrasse,fusiform / normal,27,TL
Halichoeres scapularis,Bubblefin wrasse,Zigzag wrasse,fusiform / normal,20,TL
Hologymnosus annulatus,Ring wrasse,Ring wrasse,fusiform / normal,40,TL
Hemigymnus fasciatus,Barred thicklip,Barred thicklip,fusiform / normal,30,TL
Labroides dimidiatus,Bluestreak cleaner wrasse,Bluestreak cleaner wrasse,elongated,14,TL
Iniistius pentadactylus,Peacock wrasse,Fivefinger wrasse,fusiform / normal,25,TL
Novaculichthys taeniourus,Seagrass wrasse,Rockmover wrasse,fusiform / normal,30,TL
Oxycheilinus digramma,Cheeklined wrasse,Cheeklined wrasse,fusiform / normal,40,SL
Stethojulis albovittata,Sideburn wrasse,Bluelined wrasse,fusiform / normal,14,TL
Pteragogus flagellifer,Chiseltooth wrasse,Cocktail wrasse,fusiform / normal,20,TL
Thalassoma amblycephalum,Russel’s wrasse,Bluntheaded wrasse,fusiform / normal,16,SL
Stethojulis strigiventer,Cutribbon wrasse,Three-ribbon wrasse,fusiform / normal,15,TL
Thalassoma lunare,Moon wrasse,Moon wrasse,fusiform / normal,45,TL
Thalassoma hebraicum,Sixbar wrasse,Goldbar wrasse,fusiform / normal,23,TL
Thalassoma trilobatum,Christmas wrasse,Christmas wrasse,fusiform / normal,30,TL
Bolbometopon muricatum,Green humphead parrotfish,Green humphead parrotfish,fusiform / normal,130,TL
Thalassoma quinquevittatum,Fivestripe wrasse,Fivestripe wrasse,fusiform / normal,17,TL
Cetoscarus bicolor,Spinytooth parrotfish,Bicolour parrotfish,fusiform / normal,50,SL
Calotomus carolinus,Carolines parrotfish,Carolines parrotfish,fusiform / normal,54,TL
Chlorurus atrilunula,Bluemoon parrotfish,Bluemoon parrotfish,fusiform / normal,30,TL
Chlorurus sordidus,Daisy parrotfish,Daisy parrotfish,fusiform / normal,40,TL
Hipposcarus harid,Candelamoa parrotfish,Candelamoa parrotfish,fusiform / normal,75,TL
Scarus falcipinnis,Sicklefin parrotfish,Sicklefin parrotfish,fusiform / normal,60,TL
Scarus caudofasciatus,Redbarred parrotfish,Redbarred parrotfish,fusiform / normal,50,TL
Leptoscarus vaigiensis,Marbled parrotfish,Marbled parrotfish,fusiform / normal,35.20000076,TL
Scarus viridifucatus,Roundhead parrotfish,Roundhead parrotfish,fusiform / normal,45,TL
Parapercis hexophtalma,Speckled sandperch,Speckled sandperch,elongated,29,TL
Platax orbicularis,Orbicular batfish,Orbicular batfish,short and / or deep,60,TL
Scatophagus tetracanthus,Scatty,Scatty,short and / or deep,30,TL
Platax teira,Longfin batfish,Longfin batfish,short and / or deep,70,TL
Siganus argenteus,Streamlined spinefoot,Streamlined spinefoot,fusiform / normal,40,TL
Siganus canaliculatus,Dusky spinefoot,White-spotted spinefoot,fusiform / normal,40,TL
Siganus stellatus,Shoemaker spinefoot,Brown-spotted spinefoot,short and / or deep,40,TL
Acanthurus mata,Elongate surgeonfish,Elongate surgeonfish,short and / or deep,50,TL
Acanthurus thompsoni,Thompson’s surgeonfish,Thompson's surgeonfish,short and / or deep,27,TL
Acanthurus nigrofuscus,Brown surgeonfish,Brown surgeonfish,short and / or deep,21,TL
Acanthurus triostegus,Convict surgeonfish,Convict surgeonfish,short and / or deep,27,TL
Naso annulatus,Whitemargin unicornfish,Whitemargin unicornfish,fusiform / normal,100,TL
Ctenochaetus strigosus,Striated surgeonfish,Spotted surgeonfish,short and / or deep,15,SL
Naso brevirostris,Spotted unicornfish,Spotted unicornfish,fusiform / normal,60,TL
Naso brachycentron,Humpback unicornfish,Humpback unicornfish,fusiform / normal,90,FL
Naso elegans,Elegant unicornfish,Elegant unicornfish,short and / or deep,45,SL
Naso hexacanthus,Sleek unicornfish,Sleek unicornfish,fusiform / normal,75,FL
Naso thynnoides,Oneknife unicornfish,Oneknife unicornfish,fusiform / normal,40,FL
Naso unicornis,Bluespine unicornfish,Bluespine unicornfish,short and / or deep,70,FL
Paracanthurus hepatus,Twotone tang,Palette surgeonfish,short and / or deep,31,TL
Naso vlamingii,Bignose unicornfish,Bignose unicornfish,fusiform / normal,60,TL
Zebrasoma velifer,Sailfin tang,Sailfin tang,short and / or deep,40,SL
Sphyraena barracuda,Great barracuda,Great barracuda,elongated,200,TL
Lepidocybium flavobrunneum,Snake mackerel,Escolar,fusiform / normal,200,SL
Promethichthys prometheus,Sackfish,Roudi escolar,elongated,100,SL
Acanthocybium solandri,Wahoo,Wahoo,elongated,250,TL
Auxis rochei,Frigate tuna,Bullet tuna,fusiform / normal,50,FL
Rastrelliger kanagurta,Skipjack tuna,Indian mackerel,fusiform / normal,36,NA
Gymnosarda unicolor,Dogtooth tuna,Dogtooth tuna,fusiform / normal,247.9799957,FL
Scomberomorus commerson,Narrow–barred Spanish mackerel,Narrow-barred Spanish mackerel,fusiform / normal,240,FL
Thunnus alalunga,Albacore,Albacore,fusiform / normal,140,FL
Sarda orientalis,Striped bonito,Striped bonito,fusiform / normal,102,FL
Thunnus tonggol,Bigeye tuna,Longtail tuna,fusiform / normal,144.9830017,FL
Thunnus albacares,Yellowfin tuna,Yellowfin tuna,fusiform / normal,239,FL
Istiophorus platypterus,Indo–Pacific sailfish,Indo-Pacific sailfish,elongated,348,FL
Makaira indica,Black marlin,NA,NA,NA,NA
Tetrapturus audax,Shortbill spearfish,NA,NA,NA,NA
Cubiceps whiteleggii,Bigeye cigarfish,Shadow driftfish,fusiform / normal,21,SL
Ariomma indicum,Indian driftfish,NA,NA,NA,NA
Pseudorhombus arsius,Indian halibut,Largetooth flounder,short and / or deep,45,TL
Antigonia rubescens,Indo–Pacific boarfish,Indo-Pacific boarfish,short and / or deep,15,SL
Arnoglossus dalgleishi,Indo–Pacific oval flounder,East coast flounder,short and / or deep,20,TL
Crossorhombus valderostratus,Pelican flounder,Broadbrow flounder,short and / or deep,14,TL
Bothus pantherinus,Leopard flounder,Leopard flounder,short and / or deep,39,TL
Engyprosopon grandisquama,Largescale flounder,Largescale flounder,short and / or deep,15,TL
Pardachirus morrowi,Persian carpet sole,Persian carpet sole,short and / or deep,18,TL
Pardachirus marmoratus,Finless sole,Finless sole,short and / or deep,26,TL
Paraplagusia bilineata,Doublelined tonguesole,Doublelined tonguesole,short and / or deep,31.60000038,TL
Balistapus undulatus,Starry triggerfish,Orange-lined triggerfish,short and / or deep,30,TL
Balistoides conspicillum,Clown triggerfish,Clown triggerfish,short and / or deep,50,TL
Balistoides viridescens,Titan triggerfish,Titan triggerfish,short and / or deep,75,TL
Canthidermis maculata,Ocean triggerfish,Rough triggerfish,short and / or deep,50,TL
Melichthys niger,Black triggerfish,Black triggerfish,short and / or deep,50,TL
Odonus niger,Red–toothed triggerfish,Red-toothed triggerfish,short and / or deep,50,TL
Melichthys vidua,Pinktail triggerfish,Pinktail triggerfish,short and / or deep,40,TL
Pseudobalistes flavimarginatus,Yellowmargin triggerfish,Yellowmargin triggerfish,short and / or deep,60,TL
Rhinecanthus aculeatus,Yellow–spotted triggerfish,White-banded triggerfish,short and / or deep,30,TL
Sufflamen bursa,Boomerang triggerfish,Boomerang triggerfish,short and / or deep,25,TL
Rhinecanthus rectangulus,Wedge–tail triggerfish,Wedge-tail triggerfish,short and / or deep,30,TL
Sufflamen chrysopterum,Halfmoon triggerfish,Halfmoon triggerfish,short and / or deep,30,TL
Xanthichthys lineopunctatus,Striped triggerfish,Striped triggerfish,short and / or deep,30,TL
Sufflamen fraenatum,Masked triggerfish,Masked triggerfish,short and / or deep,38,TL
Aluterus monoceros,Unicorn leatherjacket filefish,Unicorn leatherjacket filefish,short and / or deep,76.19999695,TL
Amanses scopas,Broom filefish,Broom filefish,short and / or deep,20,TL
Cantherhines dumerilii,White–spotted filefish,Whitespotted filefish,short and / or deep,38,TL
Aluterus scriptus,Scribbled leatherjacket filefish,Scribbled leatherjacket filefish,short and / or deep,110,TL
Oxymonacanthus longirostris,Honeycomb filefish,Harlequin filefish,short and / or deep,12,TL
Pseudalutarius nasicornis,Rhinoceros leatherjacket,Rhinoceros leatherjacket,fusiform / normal,19,TL
Cyclichthys orbicularis,Birdbeak burrfish,Birdbeak burrfish,short and / or deep,30,TL
Mola mola,Ocean sunfish,Ocean sunfish,short and / or deep,333,TL
Lophodiodon calori,Four–bar porcupinefish,Four-bar porcupinefish,short and / or deep,30,SL
